dates,RMSE
3/3 0:00,21.612953186035156
3/3 1:00,63.458412170410156
3/3 2:00,43.07252502441406
3/3 3:00,30.663604736328125
3/3 4:00,78.537109375
3/3 5:00,83.72811889648438
3/3 6:00,111.7564697265625
3/3 7:00,95.94659423828125
3/3 8:00,97.52055358886719
3/3 9:00,67.26634216308594
3/3 10:00,47.325042724609375
3/3 11:00,40.51158905029297
3/3 12:00,28.65454864501953
3/3 13:00,14.750999450683594
3/3 14:00,13.943244934082031
3/3 15:00,13.389045715332031
3/3 16:00,8.6171875
3/3 17:00,11.031425476074219
3/3 18:00,15.675132751464844
3/3 19:00,10.722297668457031
3/3 20:00,4.015068054199219
3/3 21:00,1.6495132446289062
3/3 22:00,0.3516845703125
3/3 23:00,24.777008056640625
3/4 0:00,9.275123596191406
3/4 1:00,51.005149841308594
3/4 2:00,52.09869384765625
3/4 3:00,44.75334167480469
3/4 4:00,69.1458740234375
3/4 5:00,85.15814208984375
3/4 6:00,61.380828857421875
3/4 7:00,34.678924560546875
3/4 8:00,38.464385986328125
3/4 9:00,63.56538391113281
3/4 10:00,44.08659362792969
3/4 11:00,36.72434997558594
3/4 12:00,14.756492614746094
3/4 13:00,2.5913925170898438
3/4 14:00,9.446800231933594
3/4 15:00,7.412193298339844
3/4 16:00,9.741172790527344
3/4 17:00,4.064247131347656
3/4 18:00,12.835502624511719
3/4 19:00,12.350650787353516
3/4 20:00,7.196418762207031
3/4 21:00,4.035194396972656
3/4 22:00,0.6456146240234375
3/4 23:00,18.027549743652344
3/5 0:00,9.783340454101562
3/5 1:00,51.89842224121094
3/5 2:00,58.18635559082031
3/5 3:00,27.010772705078125
3/5 4:00,33.644775390625
3/5 5:00,34.515594482421875
3/5 6:00,26.514495849609375
3/5 7:00,40.42918395996094
3/5 8:00,48.430755615234375
3/5 9:00,48.166900634765625
3/5 10:00,35.23152160644531
3/5 11:00,18.315811157226562
3/5 12:00,1.1100006103515625
3/5 13:00,1.7093048095703125
3/5 14:00,8.518409729003906
3/5 15:00,10.619789123535156
3/5 16:00,8.43463134765625
3/5 17:00,3.0756454467773438
3/5 18:00,9.247184753417969
3/5 19:00,8.24017333984375
3/5 20:00,13.438911437988281
3/5 21:00,4.6212310791015625
3/5 22:00,5.714057922363281
3/5 23:00,21.310813903808594
3/6 0:00,11.488082885742188
3/6 1:00,55.59052276611328
3/6 2:00,56.70228576660156
3/6 3:00,50.693450927734375
3/6 4:00,37.00738525390625
3/6 5:00,9.614593505859375
3/6 6:00,13.26959228515625
3/6 7:00,16.047515869140625
3/6 8:00,3.02593994140625
3/6 9:00,21.212738037109375
3/6 10:00,24.411895751953125
3/6 11:00,21.41925048828125
3/6 12:00,31.75702667236328
3/6 13:00,14.735191345214844
3/6 14:00,14.521675109863281
3/6 15:00,10.103195190429688
3/6 16:00,14.917350769042969
3/6 17:00,7.909423828125
3/6 18:00,16.109039306640625
3/6 19:00,16.68492889404297
3/6 20:00,18.36240005493164
3/6 21:00,10.680156707763672
3/6 22:00,9.190040588378906
3/6 23:00,20.785720825195312
3/7 0:00,8.243278503417969
3/7 1:00,40.20127868652344
3/7 2:00,51.089454650878906
3/7 3:00,18.550628662109375
3/7 4:00,32.19866943359375
3/7 5:00,23.38336181640625
3/7 6:00,27.048095703125
3/7 7:00,33.30039978027344
3/7 8:00,54.83778381347656
3/7 9:00,46.24310302734375
3/7 10:00,32.9127197265625
3/7 11:00,32.66453552246094
3/7 12:00,30.41625213623047
3/7 13:00,13.299797058105469
3/7 14:00,19.841941833496094
3/7 15:00,16.852012634277344
3/7 16:00,14.184539794921875
3/7 17:00,7.756721496582031
3/7 18:00,10.478469848632812
3/7 19:00,12.015663146972656
3/7 20:00,17.90833282470703
3/7 21:00,14.352706909179688
3/7 22:00,6.9134368896484375
3/7 23:00,25.122276306152344
3/8 0:00,6.078880310058594
3/8 1:00,60.630958557128906
3/8 2:00,67.49404907226562
3/8 3:00,6.6054840087890625
3/8 4:00,34.00860595703125
3/8 5:00,40.254852294921875
3/8 6:00,38.47576904296875
3/8 7:00,59.652099609375
3/8 8:00,70.04592895507812
3/8 9:00,70.16473388671875
3/8 10:00,61.334014892578125
3/8 11:00,61.2559814453125
3/8 12:00,43.80419921875
3/8 13:00,23.884765625
3/8 14:00,22.787643432617188
3/8 15:00,20.89519500732422
3/8 16:00,21.32476043701172
3/8 17:00,13.717124938964844
3/8 18:00,8.709403991699219
3/8 19:00,5.8017578125
3/8 20:00,9.699752807617188
3/8 21:00,1.4726409912109375
3/8 22:00,7.384220123291016
3/8 23:00,12.265022277832031
3/9 0:00,15.594078063964844
3/9 1:00,44.99512481689453
3/9 2:00,59.949974060058594
3/9 3:00,25.584030151367188
3/9 4:00,30.7354736328125
3/9 5:00,29.147247314453125
3/9 6:00,35.95860290527344
3/9 7:00,33.68853759765625
3/9 8:00,34.738128662109375
3/9 9:00,8.22320556640625
3/9 10:00,22.467544555664062
3/9 11:00,37.96246337890625
3/9 12:00,12.395828247070312
3/9 13:00,5.418235778808594
3/9 14:00,19.23682403564453
3/9 15:00,2.1844100952148438
3/9 16:00,14.216194152832031
3/9 17:00,11.662391662597656
3/9 18:00,9.787223815917969
3/9 19:00,7.92144775390625
3/9 20:00,15.322784423828125
3/9 21:00,10.9071044921875
3/9 22:00,13.039230346679688
3/9 23:00,22.496627807617188
3/10 0:00,9.515693664550781
3/10 1:00,54.235145568847656
3/10 2:00,61.94178009033203
3/10 3:00,24.773529052734375
3/10 4:00,25.281143188476562
3/10 5:00,9.570068359375
3/10 6:00,34.211029052734375
3/10 7:00,32.331024169921875
3/10 8:00,20.654022216796875
3/10 9:00,10.371368408203125
